event_name,start_date,end_date,event_type,description
Red line speech,27/09/2012,27/09/2012,UN_event,
Pre Pillar of Defense escalation,10/11/2012,11/11/2012,terror_event,10- 4 soldiers injured due to anti-tank missle. 11- 3 citinzens in Sderot injured due to rockets from gaza.
Rockets from Syria Sep 2012,11/11/2012,12/11/2012,terror_event,"Rockets from  Syria land in Israel, Israel fire towards launchers."
Operation Pillar of Defense,14/11/2012,21/11/2012,war,
Palesine observer at the UN,29/11/2012,29/11/2012,UN_event,Palestine approved to be observer in the UN.
Haled Mashaal speech in gaza,08/12/2012,08/12/2012,propaganda,25 for foundation of Hammas. First time that Mashaal in Gaza.
Apartheid Week,03/03/2013,09/03/2013,propaganda,
Obama visit middle east,20/03/2013,23/03/2013,diplomat activity,
Turkey settlement,22/03/2013,22/03/2013,diplomat activity,Netanyaho calls Arduan and apologize for Maramara events. Relations normalizations.
Apr_13 Drone interception,25/04/2013,25/04/2013,hostile_action,Israeli airforce intercept a drone adobe Haifa from Lebanon.
terror_Apr_30_2013,30/04/2013,30/04/2013,terror_event,A citizen is killed by a terrorist and his weapon was taken.
May_13 Arm shipment attack,05/05/2013,05/05/2013,operation,
Maccabiah Games 2013,18/07/2013,30/07/2013,entertainment,
peace_talks_July_30_2013,30/07/2013,30/07/2013,peace_talks,
peace_talks_Aug_13_2013,13/08/2013,13/08/2013,peace_talks,Peace talks + prisoner release
terror_Sep_20_2013,20/09/2013,20/09/2013,terror_event,A soldier been abducted and killed by palestinians for negotiations purposes
terror_Sep_22_2013,22/09/2013,22/09/2013,terror_event,A soldier been killed by palestinian sniper in the Cave of the Patriarchs
terror_Oct_11_2013,11/10/2013,11/10/2013,terror_event,2 citizens murdered in their home by 2 terrorists.
Tunnel destruction 31 Oct 2013,31/10/2013,31/10/2013,operation,5 injured soldiers in an explosion during tunnel discovery 
terror_attemts_Nov_2013,07/11/2013,07/11/2013,terror_event,terror_event
terror_Nov_13_2013,13/11/2013,13/11/2013,terror_event,terror_event
terror_Dec_15_2013,15/12/2013,15/12/2013,terror_event,A soldier killed in Rosh Hanikra due to shooting from Labanon.
Friendly fire Feb 2014,04/02/2014,04/02/2014,operation,A soldier killed by friendly fire
Weapon convoy attack Feb 2014,24/02/2014,24/02/2014,operation,Attack in Lebanon-Syria border
Apartheid Week,24/02/2014,28/03/2014,propaganda,
Operation Full Disclosure,05/03/2014,08/03/2014,operation,"Shayetet 13 commandos seized the Iranian-owned and Panamanian-registered merchant vessel Klos C that had set sail from Iran, heading for Port Sudan via Iraq."
March_2014_escalation,11/03/2014,15/03/2014,escalation,Well known escalation
rockets_shotting Jan 2014,16/03/2014,16/03/2014,terror_event,Iron Dome intercepts 4 rockets from gaza
terror_March_18_2014,18/03/2014,18/03/2014,terror_event,4 Israeli soldiers injured in by explosive near the Israel-Syrian border.
airforce attack March 2014,19/03/2014,19/03/2014,operation,"Response to yesterday terror event. 1 Syrian soldier dead, 7 wounded."
Jenin operation March 2014,21/03/2014,22/03/2014,operation,"3 soldiers injured, 3 terrorists killed in an operations by the SWAT, IDF and the ISA in Jenin"
Marine attack March 2014,26/03/2014,26/03/2014,operation,Israeli marine force destroy two palestinian ships which carried weapons to gaza
Palestine UN activity,12/04/2014,12/04/2014,UN_event,Palestine register to the UN and some treaties
terror_Apr_14_2014,14/04/2014,14/04/2014,terror_event,Israeli police officer is killed and his wife injured
rockets_shotting Apr 2014,21/04/2014,21/04/2014,terror_event,5-10 rockets towards Israel from gaza
Nakba May 2014,15/05/2014,15/05/2014,terror_event,Soldiers wrongly kill 2 young palestinians.
Pope visit,25/05/2014,25/05/2014,diplomat activity,Pope visit
terror_June_02_2014,02/06/2014,02/06/2014,terror_event,"Terror attempt at Tappoah junction, 1 soldier injured"
Shuvo Ahim,12/06/2014,02/07/2014,terror_event,Kidnapping and murder of 3 Israeli teenagers
terror_June_22_2014,22/06/2014,22/06/2014,terror_event,Anti tanks missle from Syria kills 2 Isarlies and injure 3 more
Airforce attack June 2014,23/06/2014,23/06/2014,operation,response to yesterday terror event. 10 Syrian soldiers killed.
Shuvo Ahim payback,02/07/2014,07/07/2014,terror_event,
Operation Protective Edge,08/07/2014,26/08/2014,war,
escalation_Aug_2014,01/08/2014,27/08/2014,escalation,Rockets and air force strikes. Kind of a break during 18-26 Aug.
rockets Syria Aug 2014,27/08/2014,27/08/2014,terror_event,"2 rockets from battles in Syria land in Israel, an Israeli soldier is injured"
Unmanned aerial vehicle interception Aug 2014,31/08/2014,31/08/2014,terror_event,Unmanned aerial vehicle was intercepted in Kunitra using PATRIOT
3 youngsters killers shoot dead,23/09/2014,23/09/2014,operation,"The murderers of the 3 youngsters killers shoot dead by the IDF, SWAT and ISA"
Unmanned aerial vehicle interception Sep 2014,23/09/2014,23/09/2014,terror_event,A Syrian Sukhoi Su-24 was intercepted by Israeli PATRIOT force
terror_Oct_07_2014,07/10/2014,07/10/2014,terror_event,2 Israeli soldiers injured by explosive put by Hezbullah at Israel-Lebanon border
terror_Oct_22_2014,22/10/2014,22/10/2014,terror_event,"A Palestinian man rams his car into a crowded Jerusalem train station, killing a three-month-old Israeli-American girl"
terror_Oct_29_2014,29/10/2014,29/10/2014,terror_event,"A Palestinian on a motorcycle shoots and seriously wounds Yehuda Glick, an Israeli-American rabbi"
Yehuda Glik murder attempt,29/10/2014,29/10/2014,terror_event,Yehuda Glik shot by a palestinian at temple mount
Vehicle-ramming attack Nov_05 2014,05/11/2014,05/11/2014,terror_event,"A Hamas militant slams a van into a crowd waiting for a train in Jerusalem, killing two people"
terror_Nov_08_2014,08/11/2014,08/11/2014,terror_event,Israeli police shoot and kill an Arab Israeli protester at a demonstration in northern Israel. Video indicates the man was walking away from the officer when shot.
Marine attack Nov 2014,09/11/2014,09/11/2014,operation,Israeli marine force destroy a fishing palestinian ship which carried weapons to gaza
Stabbing attack Nov_10_2014,10/11/2014,10/11/2014,terror_event,"Palestinian attackers kill two Israelis in Tel Aviv and the West Bank in separate stabbings: One israeli soldier stabbed to death in Tel Aviv train station, while young woman killed in Alon Shvut (and few more injured)"
peace_talks_November_13_2014,13/11/2014,13/11/2014,peace_talks,"The US secretary of state, John Kerry, meets the Israeli prime minister, Binyamin Netanyahu, and JordanÕs King Abdullah in Amman. The trio agree on steps to defuse tensions at the Jerusalem holy site."
Kehilat Hatora synagogue attack,18/11/2014,18/11/2014,terror_event,5 deads and 8 injured in Kehilat Hatora synagogue attack by 2 terrorists
Stabbing attack Dec_03_2014,03/12/2014,03/12/2014,terror_event,2 injured during stabbing attack in Rami-Levi market in Maale Edomim
Ziad Abu Ein death,10/12/2014,10/12/2014,other,"Palestiian minister Ziad Abu Ein died due to heart attack, but palestinians blame Israel"
terror_Dec_12_2014,12/12/2014,12/12/2014,terror_event,Murder attempt using acid and stabbing of family with 5 children. 5 got injured.
Sniper shooting gaza Dec 2014,24/12/2014,24/12/2014,terror_event,"one soldier injured, at least one terrorist dead at sniper attack and shooting at gaza border."
terror_Dec_25_2014,25/12/2014,25/12/2014,terror_event,Israeli car was burn by a Molotov cocktail. Young girl got injured.
terror_Dec_25_2014,25/12/2014,25/12/2014,terror_event,Israeli soldiers kill 2 terrorists who through rocks and explosives.
Palestine independence request,30/12/2014,30/12/2014,UN_event,A palestinian vote for independence (67 borders) was denied in the UN.
Airforce attack Syria Jan 2015,18/01/2015,18/01/2015,operation,Airforce attack in Syria. 1 supreme general of the Iranian army killed as well as Hezbullah commander Imad Mughniyah.
rockets Syria Jan 2015,27/01/2015,27/01/2015,escalation,"2 rockets from Syria, IDF fires back."
Anti tanks missle from Lebanon,28/01/2015,28/01/2015,terror_event,"2 soldires killed, 7 injured."
Apartheid Week,01/03/2015,07/03/2015,propaganda,
Netanyahu speech at US congress,03/03/2015,03/03/2015,propaganda,Netanyahu speech at US congress about Iran deal
terror_Apr_15_2015,15/04/2015,15/04/2015,terror_event,"Vehicle-ramming attack in Jerusalem. 1 dead, 1 injured citizens"
April 2015 Qalamoun incident,25/04/2015,25/04/2015,escalation,
Syria events Apr 2015,25/04/2015,27/04/2015,operation,"25 - Reported attack by aljazeera. 26 - IDF kills terror squad from Syria, 4 deads. 27 - 3 airforce strikes at Syria."
ISIS rockets Jul 2015,03/07/2015,03/07/2015,terror_event,Few rockets from Sinai landed in Israel. Launched by ISIS.
Operations 29_Jul_2015,29/07/2015,29/07/2015,operation,"5 terrorists shot dead, at least 2 from Hezbullah. Airforce strike at Syria, bombing a weapon warehouse in Lebanon."
Duma arson attack,31/07/2015,31/07/2015,terror_event,Dawabsheh family house burn. 6 deads (including a baby) and 1 more injured.
Matual attacks - Syria,20/08/2015,22/08/2015,escalation,"20 - Rockets from Syria, Airforce strikes. 21 - airforce makes a targeted killing the terrorists lunched the rockets yesterday. 22 - media claim Israeli drone has fallen, and Israel striked in Lebanon, not comment from the IDF."
September 2015 terror attacks,01/09/2015,13/09/2015,escalation,"Temple mount conflict, including explosives and direct confrontation between muslims and police, Rocks terror."
Rockets from Syria Sep 2015,26/09/2015,27/09/2015,terror_event,Rockets and air force strikes. Kind of a break during 18-26 Aug. 27 - more missguided rockets. IDF responded.
Church burned in Bethlehem,28/09/2015,28/09/2015,terror_event,
